x,Stream,stream,Season,num,d,date,time,new.time,dt,station,temp,oxy,light,bp,z,dtime,bpcalc,sondemetabmodel
,SHA,Stream,Fall,1,NA,10/27/2022,17:20:00,0.3,10/27/2022 17:20,up,12.43,8.24,82.74,770.32362,0.21,(10/27/22 17:20:00),747.5347684,8.24
,SHA,Stream,Fall,2,NA,10/27/2022,17:30:00,0.4,10/27/2022 17:30,up,12.43,8.13,66.99,770.32362,0.21,(10/27/22 17:30:00),747.5347684,8.241248656
,SHA,Stream,Fall,3,NA,10/27/2022,17:40:00,0.6,10/27/2022 17:40,up,12.43,8.08,64.26,770.47348,0.21,(10/27/22 17:40:00),747.680195,8.232364152
,SHA,Stream,Fall,4,NA,10/27/2022,17:50:00,0.8,10/27/2022 17:50,up,12.43,8.06,59.01,770.62334,0.21,(10/27/22 17:50:00),747.8256216,8.219546416
,SHA,Stream,Fall,5,NA,10/27/2022,18:00:00,0.9,10/27/2022 18:00,up,12.43,7.98,51.24,770.69954,0.21,(10/27/22 18:00:00),747.8995673,8.200171311
,SHA,Stream,Fall,6,NA,10/27/2022,18:10:00,1.1,10/27/2022 18:10,up,12.43,7.93,43.26,770.69954,0.21,(10/27/22 18:10:00),747.8995673,8.172964275
,SHA,Stream,Fall,7,NA,10/27/2022,18:20:00,1.3,10/27/2022 18:20,up,12.43,7.93,22.26,770.69954,0.21,(10/27/22 18:20:00),747.8995673,8.130969548
,SHA,Stream,Fall,8,NA,10/27/2022,18:30:00,1.4,10/27/2022 18:30,up,12.43,7.84,11.76,770.7732,0.21,(10/27/22 18:30:00),747.9710482,8.073419099
,SHA,Stream,Fall,9,NA,10/27/2022,18:40:00,1.6,10/27/2022 18:40,up,12.43,7.77,6.51,770.69954,0.21,(10/27/22 18:40:00),747.8995673,8.009544464
,SHA,Stream,Fall,10,NA,10/27/2022,18:50:00,1.8,10/27/2022 18:50,up,12.43,7.76,1.26,770.62334,0.21,(10/27/22 18:50:00),747.8256216,7.942433745
,SHA,Stream,Fall,11,NA,10/27/2022,19:00:00,1.9,10/27/2022 19:00,up,12.43,7.665,1.26,770.69954,0.21,(10/27/22 19:00:00),747.8995673,7.875134343
,SHA,Stream,Fall,12,NA,10/27/2022,19:10:00,2.1,10/27/2022 19:10,up,11.83,7.57,1.26,770.54968,0.21,(10/27/22 19:10:00),747.7068644,7.81141351
,SHA,Stream,Fall,13,NA,10/27/2022,19:20:00,2.3,10/27/2022 19:20,up,11.74,7.53,1.26,770.62334,0.21,(10/27/22 19:20:00),747.7712317,7.753117884
,SHA,Stream,Fall,14,NA,10/27/2022,19:30:00,2.4,10/27/2022 19:30,up,11.67,7.52,1.26,770.69954,0.21,(10/27/22 19:30:00),747.8396392,7.697665082
,SHA,Stream,Fall,15,NA,10/27/2022,19:40:00,2.6,10/27/2022 19:40,up,11.6,7.51,1.26,770.7732,0.21,(10/27/22 19:40:00),747.9055783,7.644838725
,SHA,Stream,Fall,16,NA,10/27/2022,19:50:00,2.8,10/27/2022 19:50,up,11.53,7.44,1.26,770.7732,0.21,(10/27/22 19:50:00),747.9000396,7.594505552
,SHA,Stream,Fall,17,NA,10/27/2022,20:00:00,2.9,10/27/2022 20:00,up,11.46,7.4,1.26,770.7732,0.21,(10/27/22 20:00:00),747.8944981,7.546538905
